# Total Running+Ready pods over sweep, aggregated across 10 runs (st5-AttUpd)
# t_sec             mean      stddev     n
  1064            30.100       1.136    10
  1065            30.100       1.136    10
  1066            30.100       1.136    10
  1067            30.100       1.136    10
  1068            30.100       1.136    10
  1069            30.100       1.136    10
  1070            30.100       1.136    10
  1071            30.111       1.197     9
  1072            30.100       1.136    10
  1073            30.100       1.136    10
  1074            30.100       1.136    10
  1075            30.100       1.136    10
  1076            30.100       1.136    10
  1077            30.100       1.136    10
  1078            30.100       1.136    10
  1079            30.100       1.136    10
  1080            30.100       1.136    10
  1081            30.100       1.136    10
  1082            30.100       1.136    10
  1083            30.100       1.136    10
  1084            29.778       0.629     9
  1085            30.100       1.136    10
  1086            30.100       1.136    10
  1087            30.100       1.136    10
  1088            30.100       1.136    10
  1089            30.100       1.136    10
  1090            30.100       1.136    10
  1091            30.100       1.136    10
  1092            30.100       1.136    10
  1093            30.100       1.136    10
  1094            30.100       1.136    10
  1095            30.100       1.136    10
  1096            30.100       1.136    10
  1097            30.100       1.136    10
  1098            30.100       1.136    10
  1099            30.100       1.136    10
  1100            30.100       1.136    10
  1101            30.100       1.136    10
  1102            30.100       1.136    10
  1103            30.100       1.136    10
  1104            30.100       1.136    10
  1105            30.100       1.136    10
  1106            30.100       1.136    10
  1107            30.100       1.136    10
  1108            30.100       1.136    10
  1109            30.100       1.136    10
  1110            30.222       1.133     9
  1111            30.100       1.136    10
  1112            30.100       1.136    10
  1113            30.100       1.136    10
  1114            30.100       1.136    10
  1115            30.100       1.136    10
  1116            30.111       1.197     9
  1117            30.100       1.136    10
  1118            30.100       1.136    10
  1119            30.100       1.136    10
  1120            30.222       1.133     9
  1121            30.100       1.136    10
  1122            30.100       1.136    10
  1123            30.100       1.136    10
  1124            30.100       1.136    10
  1125            30.100       1.136    10
  1126            30.100       1.136    10
  1127            30.100       1.136    10
  1128            30.100       1.136    10
  1129            30.100       1.136    10
  1130            30.100       1.136    10
  1131            30.100       1.136    10
  1132            30.100       1.136    10
  1133            30.100       1.136    10
  1134            30.100       1.136    10
  1135            30.100       1.136    10
  1136            30.100       1.136    10
  1137            30.100       1.136    10
  1138            30.100       1.136    10
  1139            30.100       1.136    10
  1140            30.100       1.136    10
  1141            30.100       1.136    10
  1142            30.100       1.136    10
  1143            30.100       1.136    10
  1144            30.100       1.136    10
  1145            30.100       1.136    10
  1146            30.100       1.136    10
  1147            30.100       1.136    10
  1148            30.100       1.136    10
  1149            30.100       1.136    10
  1150            30.100       1.136    10
  1151            30.100       1.136    10
  1152            30.100       1.136    10
  1153            30.100       1.136    10
  1154            30.100       1.136    10
  1155            30.100       1.136    10
  1156            30.100       1.136    10
  1157            30.100       1.136    10
  1158            30.100       1.136    10
  1159            30.100       1.136    10
  1160            30.100       1.136    10
  1161            30.100       1.136    10
  1162            30.111       1.197     9
  1163            30.100       1.136    10
  1164            30.100       1.136    10
  1165            30.100       1.136    10
  1166            30.100       1.136    10
  1167            30.100       1.136    10
  1168            30.222       1.133     9
  1169            30.100       1.136    10
  1170            30.100       1.136    10
  1171            30.100       1.136    10
  1172            30.100       1.136    10
  1173            30.100       1.136    10
  1174            30.100       1.136    10
  1175            30.100       1.136    10
  1176            30.100       1.136    10
  1177            30.100       1.136    10
  1178            30.100       1.136    10
  1179            30.100       1.136    10
  1180            30.100       1.136    10
  1181            30.100       1.136    10
  1182            30.100       1.136    10
  1183            30.100       1.136    10
  1184            30.100       1.136    10
  1185            30.100       1.136    10
  1186            30.100       1.136    10
  1187            30.100       1.136    10
  1188            30.100       1.136    10
  1189            30.100       1.136    10
  1190            30.100       1.136    10
  1191            30.100       1.136    10
  1192            30.100       1.136    10
  1193            30.100       1.136    10
  1194            30.111       1.197     9
  1195            30.100       1.136    10
  1196            30.100       1.136    10
  1197            30.111       1.197     9
  1198            30.100       1.136    10
  1199            30.100       1.136    10
  1200            30.100       1.136    10
  1201            30.100       1.136    10
